TagName,QuestionCount,WithAnyAnswer,WithAcceptedAnswer,AvgAnsCount,PercentAnswered,PercentAccepted
"aws-powershell","116","107","61","1.310344","92.2413793103448","52.5862068965517"
"azure-ad-powershell-v2","23","18","12","1","78.2608695652173","52.1739130434782"
"azure-powershell","1192","1066","632","1.306208","89.4295302013422","53.0201342281879"
"google-cloud-powershell","6","6","4","1.166666","100","66.6666666666666"
"powershell","68754","60313","37692","1.398347","87.7228961224074","54.8215376559909"
"powershell-core","117","79","44","0.897435","67.5213675213675","37.6068376068376"
"powershell-dsc","33","26","11","0.90909","78.7878787878787","33.3333333333333"
"powershellget","15","14","7","1.466666","93.3333333333333","46.6666666666666"
"powershell-hosting","12","12","9","1.166666","100","75"
"powershell-ise","415","375","222","1.508433","90.3614457831325","53.4939759036144"
"powershell-jobs","24","22","14","1.625","91.6666666666666","58.3333333333333"
"powershell-module","132","109","69","1.287878","82.5757575757575","52.2727272727272"
"powershell-provider","13","13","6","1.615384","100","46.1538461538461"
"powershell-remoting","843","707","352","1.290628","83.8671411625148","41.7556346381969"
"powershell-sdk","13","11","10","1.307692","84.6153846153846","76.9230769230769"
"powershell-studio","22","20","13","1.045454","90.9090909090909","59.090909090909"
"powershell-tools","1","1","0","1","100","0"
"powershell-trap","6","6","5","1.166666","100","83.3333333333333"
"powershell-v1.0","133","127","82","1.62406","95.4887218045112","61.6541353383458"
"powershell-v2.0","3842","3531","2315","1.585372","91.9052576782925","60.25507548152"
"powershell-v3.0","2755","2419","1450","1.359709","87.8039927404718","52.6315789473684"
"powershell-v4.0","1349","1135","699","1.223869","84.1363973313565","51.8161601186063"
"powershell-v5.0","564","474","329","1.225177","84.0425531914893","58.3333333333333"
"powershell-v5.1","53","35","23","0.90566","66.0377358490566","43.3962264150943"
"powershell-v6.0","55","42","25","1.181818","76.3636363636363","45.4545454545454"
"powershell-workflow","77","52","31","0.870129","67.5324675324675","40.2597402597402"